epoch,train_loss,train_auc,train_acc,train_balanced_acc,val_loss,val_auc,val_acc,val_balanced_acc,train_recon_loss,train_kl_loss,train_cls_loss,train_consistency_loss,val_recon_loss,val_kl_loss,val_cls_loss,val_consistency_loss
1,0.8529338992022454,0.48639722602174995,0.7553333333333333,0.20869124543055909,0.819260229193975,0.4172566275257787,0.921,0.2,0.06446794462093014,0.06066788480947775,1.575117992910933,0.003002809125961632,0.06054182084543364,0.011373264862904473,1.5165006281837585,0.003543590158519764
2,0.830110269024017,0.4957335380940884,0.9083333333333333,0.2,0.7901222563925243,0.5408566789619327,0.921,0.2,0.058140698424045074,0.024814088504384966,1.5427553400080254,0.0034375835350650224,0.05702665862109926,0.042696528491519746,1.464784496360355,0.002763854916251841
3,0.8405829477817455,0.4607092533197516,0.9083333333333333,0.2,0.7994901537895203,0.5172283713152489,0.921,0.2,0.056523630415347026,0.017286182475335737,1.567164160152699,0.0030437563555290367,0.056456004106809225,0.013696146877630362,1.4851646044897655,0.0031488654684157127
4,0.8238103513387923,0.49265443688771543,0.9083333333333333,0.2,0.7961672317414057,0.5614097382685125,0.921,0.2,0.05608988307574962,0.01897716057546278,1.5344364246789446,0.00312485866015777,0.0563258080491944,0.010530700286229452,1.4789712618267725,0.0025048556013239753
5,0.8297360468100994,0.49191808642121354,0.9083333333333333,0.2,0.8014733999494522,0.5522458663329453,0.921,0.2,0.056002483524857684,0.010093029739553148,1.546656814661432,0.003042245236042134,0.056601881389580076,0.004579808274727492,1.4893746830168224,0.0013838249558050717
6,0.8226884589233296,0.4805013377746966,0.9083333333333333,0.2,0.7842718802747273,0.4912473607880502,0.921,0.2,0.05588952979033298,0.0079407857277708,1.532834271484233,0.003023836385840154,0.05606935610846868,0.02685039567332419,1.4553626075623527,0.002527146278658793
7,0.8261183779290382,0.476745525362106,0.9083333333333333,0.2,0.7949724954272074,0.467151673436183,0.921,0.2,0.05590437566663357,0.008437413261569243,1.5396503942443969,0.00304432973040248,0.05599770263310463,0.005377712245616648,1.4772375443625072,0.003022431880087843
8,0.8272147001104152,0.46455225394776267,0.9083333333333333,0.2,0.79370217285459,0.6042815007697715,0.921,0.2,0.05577238060613262,0.005146429415772411,1.542176549104934,0.0030258474116055096,0.0559757924860432,0.004653541142091391,1.4747604510140797,0.0029962315955864532
9,0.8259737204681051,0.485702682151582,0.9083333333333333,0.2,0.8011877366474697,0.5157290253633294,0.921,0.2,0.05578512736061152,0.004786317094917746,1.5396736720775037,0.003038937248539754,0.05604702612710378,0.002113429622517692,1.4894876063816131,0.003757667916250371
10,0.8269878866824698,0.44508042102981166,0.9083333333333333,0.2,0.7967308579929291,0.5073612994074201,0.921,0.2,0.055816257848067485,0.0027826963106487345,1.5416872469668692,0.0030017693494842883,0.05600387638523465,0.0022403046244844084,1.4808222263578386,0.0029346783283270067
11,0.8264519274234772,0.47447566753355896,0.9083333333333333,0.2,0.7960915205970643,0.5362031945455026,0.921,0.2,0.0557057421773355,0.002651277658321518,1.5408279233156366,0.0030571068643265344,0.055951071341359425,0.0016060929638259704,1.4797305587738279,0.002591076081559535
12,0.8226192504801648,0.4857955422622317,0.9083333333333333,0.2,0.7945123324318538,0.5559330865774139,0.921,0.2,0.055696411375352674,0.0014182451754521104,1.5332139774839928,0.003016682456871693,0.0558207148597354,0.0011664493109232613,1.4765760936434307,0.003919094978343873
13,0.8152793078346455,0.48596358650183313,0.9083333333333333,0.2,0.7882605365344456,0.5847367910438769,0.921,0.2,0.055682409237673945,0.0010904869382973126,1.5185568021967055,0.003075907651169047,0.05598980478114552,0.0015699965971714212,1.4636357218500167,0.004371735696045179
14,0.8249781226858179,0.4876602617373299,0.9083333333333333,0.2,0.7930196173607357,0.5739071693786594,0.921,0.2,0.05567785296985443,0.0013946648705701165,1.5379718437473824,0.003004028933417508,0.055893397993511625,0.0010134301366402753,1.4736129461772858,0.003096064305051215
15,0.8140941515881964,0.4680752086723697,0.9083333333333333,0.2,0.7924906573598347,0.586586893036391,0.921,0.2,0.05566246809556763,0.001157063983710225,1.5162354913797784,0.003023689294461795,0.05575419388829716,0.000750431870405991,1.4727157609803336,0.0037107831458487207
16,0.8268004373667088,0.5021196387414139,0.9083333333333333,0.2,0.7920056089522347,0.5317015519290791,0.921,0.2,0.05564570492331652,0.0006536904619040681,1.5416986761575049,0.0029886128372225433,0.0557743138264096,0.0007530580799553603,1.471548905448308,0.004493086901862943
17,0.830831933845865,0.4677019422083493,0.9083333333333333,0.2,0.7918097092991784,0.5192433826744105,0.921,0.2,0.05567654995049568,0.0007330745801037336,1.549693858052822,0.003011232046930595,0.05586184833257917,0.0006438739401923995,1.47117481156001,0.0035401791452415407
18,0.8257465942742976,0.4850334813732357,0.9083333333333333,0.2,0.7918021660002451,0.4974615590919072,0.921,0.2,0.05563789019559292,0.0006879771021789217,1.5396065927566367,0.002985332894356961,0.056035799698697195,0.0006030094588086719,1.4708327187432184,0.003439743947681217
19,0.8224046372986854,0.45950723137259075,0.9083333333333333,0.2,0.7890848451190524,0.49628244284645284,0.921,0.2,0.05562417698588143,0.0005363944222521472,1.532953067028776,0.0029856308773308594,0.05606353939289138,0.0005080635855270047,1.465718162438226,0.0015714321237441803
20,0.8299358426890475,0.4877864185437021,0.9083333333333333,0.2,0.7956898221893917,0.5024381318344178,0.921,0.2,0.05561319490934306,0.00048237947866003566,1.5480306094631235,0.0030251621099020493,0.05599495112186387,0.000410203091127591,1.4790011322687542,0.0019020418108012232
